#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|Hash_Char_Output_100MB_Sample.bin|  5.84e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.03338963|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.88799622|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.62785110|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.24321825|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.74317554|  PASSED  
        diehard_opso|   0|   2097152|     100|0.11236358|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.91173969|  PASSED  
         diehard_dna|   0|   2097152|     100|0.65506001|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.12770097|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.53412710|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.59516268|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.64328958|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.93779590|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.12103483|  PASSED  
        diehard_sums|   0|       100|     100|0.08540509|  PASSED  
        diehard_runs|   0|    100000|     100|0.08198149|  PASSED  
        diehard_runs|   0|    100000|     100|0.87831896|  PASSED  
       diehard_craps|   0|    200000|     100|0.93447351|  PASSED  
       diehard_craps|   0|    200000|     100|0.63098283|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.46238275|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.07094528|  PASSED  
         sts_monobit|   1|    100000|     100|0.08111701|  PASSED  
            sts_runs|   2|    100000|     100|0.04102334|  PASSED  
          sts_serial|   1|    100000|     100|0.45844978|  PASSED  
          sts_serial|   2|    100000|     100|0.14884287|  PASSED  
          sts_serial|   3|    100000|     100|0.64796401|  PASSED  
          sts_serial|   3|    100000|     100|0.93310465|  PASSED  
          sts_serial|   4|    100000|     100|0.85441534|  PASSED  
          sts_serial|   4|    100000|     100|0.33185467|  PASSED  
          sts_serial|   5|    100000|     100|0.57994112|  PASSED  
          sts_serial|   5|    100000|     100|0.79273849|  PASSED  
          sts_serial|   6|    100000|     100|0.94973790|  PASSED  
          sts_serial|   6|    100000|     100|0.99343266|  PASSED  
          sts_serial|   7|    100000|     100|0.83142881|  PASSED  
          sts_serial|   7|    100000|     100|0.52225766|  PASSED  
          sts_serial|   8|    100000|     100|0.23226506|  PASSED  
          sts_serial|   8|    100000|     100|0.77470490|  PASSED  
          sts_serial|   9|    100000|     100|0.05591747|  PASSED  
          sts_serial|   9|    100000|     100|0.15406712|  PASSED  
          sts_serial|  10|    100000|     100|0.80256835|  PASSED  
          sts_serial|  10|    100000|     100|0.15554253|  PASSED  
          sts_serial|  11|    100000|     100|0.97405209|  PASSED  
          sts_serial|  11|    100000|     100|0.82990530|  PASSED  
          sts_serial|  12|    100000|     100|0.69338766|  PASSED  
          sts_serial|  12|    100000|     100|0.62141269|  PASSED  
          sts_serial|  13|    100000|     100|0.96226878|  PASSED  
          sts_serial|  13|    100000|     100|0.42845409|  PASSED  
          sts_serial|  14|    100000|     100|0.94194273|  PASSED  
          sts_serial|  14|    100000|     100|0.78133386|  PASSED  
          sts_serial|  15|    100000|     100|0.91322534|  PASSED  
          sts_serial|  15|    100000|     100|0.76335409|  PASSED  
          sts_serial|  16|    100000|     100|0.43669621|  PASSED  
          sts_serial|  16|    100000|     100|0.20720466|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.95267804|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.47003688|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.58997680|  PASSED  
